"","year","Seas","fleet","catch","catch_se"
"1",2025,1,1,0,0.1
"2",2025,2,1,0,0.1
"3",2025,1,2,74.7115272676966,0.1
"4",2025,2,2,177.955989154834,0.1
"5",2025,1,3,23.3301821588046,0.1
"6",2025,2,3,6.01680171700361,0.1
"7",2025,1,4,1.07203594066879,0.1
"8",2025,2,4,0,0.1
"9",2025,1,5,0,0.1
"10",2025,2,5,0,0.1
"11",2025,1,6,2089.17102017943,0.1
"12",2025,2,6,0,0.1
"13",2025,1,7,282.876204473347,0.1
"14",2025,2,7,0,0.1
"15",2025,1,8,74.4670505461853,0.1
"16",2025,2,8,0,0.1
"17",2025,1,9,0,0.1
"18",2025,2,9,279.314891548826,0.1
"19",2025,1,10,6.58886661525172,0.1
"20",2025,2,10,0,0.1
"21",2025,1,11,236.313928769393,0.1
"22",2025,2,11,30.8534987908949,0.1
"23",2025,1,12,0,0.1
"24",2025,2,12,296.370571924022,0.1
"25",2025,1,13,49.4163637428662,0.1
"26",2025,2,13,0,0.1
"27",2025,1,14,51.3708484081291,0.1
"28",2025,2,14,0,0.1
"29",2025,1,15,9.38611341583426,0.1
"30",2025,2,15,4.01407953970821,0.1
"31",2025,1,16,205.577960211615,0.1
"32",2025,2,16,176.090579087511,0.1
"33",2025,1,17,0,0.1
"34",2025,2,17,0,0.1
"35",2025,1,18,280.068035854788,0.1
"36",2025,2,18,84.699113470449,0.1
"37",2025,1,19,0,0.1
"38",2025,2,19,1539.21229561676,0.1
"39",2025,1,20,0,0.1
"40",2025,2,20,0,0.1
"41",2025,1,21,604.777769290388,0.1
"42",2025,2,21,84.6252645581506,0.1
"43",2025,1,22,733.836,0.1
"44",2025,2,22,299.562,0.1
"45",2025,1,23,0,0.1
"46",2025,2,23,0,0.1
"47",2025,1,24,0,0.1
"48",2025,2,24,290.87714775025,0.1
"49",2025,1,25,93.8783649969988,0.1
"50",2025,2,25,0,0.1
"51",2025,1,26,3.48534,0.1
"52",2025,2,26,1.53531,0.1
