F61,F62,F63,F64,F65,F96,F97,F118,F119
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
-0.268848054,0.039102451,-0.1584497,-0.055056732,-0.144289741,0.264712118,0.039499013,0.505899883,0.269083403
